Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/113003584;House;Sale;;;287 m²;;R5 599 000 ;3 Bedroom House for Sale in Gardens;https://images.prop24.com/311866553/Ensure1280x720|https://images.prop24.com/311821623/Ensure1280x720;https://images.prop24.com/311866553/Ensure1280x720;1.0;;287 m²;3.0;2.5
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/113019850;House;Sale;;;218 m²;;R3 950 000 ;4 Bedroom House for Sale in Gardens;https://images.prop24.com/312095932/Ensure1280x720|https://images.prop24.com/312095933/Ensure1280x720;https://images.prop24.com/312095932/Ensure1280x720;;217 m²;218 m²;4.0;2.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/113224999;House;Sale;;;241 m²;;R5 750 000 ;3 Bedroom House for Sale in Gardens;https://images.prop24.com/314528669/Ensure1280x720|https://images.prop24.com/314528670/Ensure1280x720;https://images.prop24.com/314528669/Ensure1280x720;;127 m²;241 m²;3.0;1.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/107820098;House;Sale;;;137 m²;;R3 195 000 ;2 Bedroom House for Sale in Gardens;https://images.prop24.com/315182115/Ensure1280x720|https://images.prop24.com/314474135/Ensure1280x720;https://images.prop24.com/315182115/Ensure1280x720;;120 m²;137 m²;2.0;2.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/113118294;House;Sale;;;151 m²;;R4 295 000 ;3 Bedroom House for Sale in Gardens;https://images.prop24.com/313747863/Ensure1280x720|https://images.prop24.com/313747864/Ensure1280x720;https://images.prop24.com/313747863/Ensure1280x720;;144 m²;151 m²;3.0;1.0
GARDENS;https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/113232017;House;Sale;;;160 m²;;R4 750 000 ;3 Bedroom House for Sale in Gardens;https://images.prop24.com/314654720/Ensure1280x720|https://images.prop24.com/314654721/Ensure1280x720;https://images.prop24.com/314654720/Ensure1280x720;;130 m²;160 m²;3.0;2.5
GARDENS;https://www.property24.com/to-rent/gardens/cape-town/western-cape/9145/113396343;House;Rent;;;;;R30 000 ;2 Bedroom House to Rent in Gardens;;https://images.prop24.com/317230954/Crop600x400;2.0;;190 m²;2.0;1.0
GARDENS;https://www.property24.com/to-rent/gardens/cape-town/western-cape/9145/113417716;House;Rent;;;;;R45 000 ;3 Bedroom House to Rent in Gardens;;https://images.prop24.com/317581950/Crop600x400;2.0;;361 m²;3.0;2.0
GARDENS;https://www.property24.com/to-rent/gardens/cape-town/western-cape/9145/113442752;House;Rent;;;;;R40 000 ;3 Bedroom House to Rent in Gardens;;https://images.prop24.com/317581950/Crop600x400;1.0;;177 m²;3.0;3.0
DURBANVILLE;https://www.property24.com/for-sale/sonstraal-heights/durbanville/western-cape/9550/112224408;House;Sale;;;437 m²;;R2 995 000 ;4 Bedroom House for Sale in Sonstraal Heights;https://images.prop24.com/299142786/Ensure1280x720|https://images.prop24.com/299142780/Ensure1280x720;https://images.prop24.com/299142786/Ensure1280x720;1.0;236 m²;437 m²;4.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/sonstraal-east/durbanville/western-cape/9571/113217732;House;Sale;;;278 m²;;R2 350 000 ;3 Bedroom House for Sale in Sonstraal East;https://images.prop24.com/314391184/Ensure1280x720|https://images.prop24.com/314391185/Ensure1280x720;https://images.prop24.com/314391184/Ensure1280x720;1.0;100 m²;278 m²;3.0;1.0
DURBANVILLE;https://www.property24.com/for-sale/sonstraal-heights/durbanville/western-cape/9550/113272708;House;Sale;;;271 m²;Alarm System, Security Gate, Burglar Bars;R2 400 000 ;2 Bedroom House for Sale in Sonstraal Heights;https://images.prop24.com/315260838/Ensure1280x720|https://images.prop24.com/315260843/Ensure1280x720;https://images.prop24.com/315260838/Ensure1280x720;1.0;;271 m²;2.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/avalon-estate/durbanville/western-cape/12726/113215976;House;Sale;;;650 m²;;R6 500 000 ;6 Bedroom House for Sale in Avalon Estate;https://images.prop24.com/314360844/Ensure1280x720|https://images.prop24.com/314360846/Ensure1280x720;https://images.prop24.com/314360844/Ensure1280x720;2.0;296 m²;650 m²;6.0;4.0
DURBANVILLE;https://www.property24.com/for-sale/the-crest/durbanville/western-cape/9554/113113649;House;Sale;;;875 m²;Alarm System;R3 490 000 ;4 Bedroom House for Sale in The Crest;https://images.prop24.com/313660518/Ensure1280x720|https://images.prop24.com/313660489/Ensure1280x720;https://images.prop24.com/313660518/Ensure1280x720;2.0;307 m²;875 m²;4.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/valmary-park/durbanville/western-cape/9556/113232819;House;Sale;;;;;R3 900 000 ;4 Bedroom House for Sale in Valmary Park;https://images.prop24.com/314669327/Ensure1280x720|https://images.prop24.com/314669302/Ensure1280x720;https://images.prop24.com/314669327/Ensure1280x720;2.0;;;4.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/everglen/durbanville/western-cape/9525/113050502;House;Sale;;;1 050 m²;;R4 890 000 ;5 Bedroom House for Sale in Everglen;https://images.prop24.com/312691285/Ensure1280x720|https://images.prop24.com/312691286/Ensure1280x720;https://images.prop24.com/312691285/Ensure1280x720;2.0;;1 050 m²;5.0;3.0
DURBANVILLE;https://www.property24.com/for-sale/avalon-estate/durbanville/western-cape/12726/112837318;House;Sale;;;364 m²;Partially Fenced, Security Gate, 24 Hour Response, 24 Hour Access;R3 350 000 ;3 Bedroom House for Sale in Avalon Estate;https://images.prop24.com/309710460/Ensure1280x720|https://images.prop24.com/309710461/Ensure1280x720;https://images.prop24.com/309710460/Ensure1280x720;2.0;202 m²;364 m²;3.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/kenridge/durbanville/western-cape/9512/112544850;House;Sale;;;1 112 m²;Alarm System, 24 Hour Access;R4 395 000 ;4 Bedroom House for Sale in Kenridge;https://images.prop24.com/304689529/Ensure1280x720|https://images.prop24.com/304689530/Ensure1280x720;https://images.prop24.com/304689529/Ensure1280x720;2.0;251 m²;1 112 m²;4.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/durbanville-central/durbanville/western-cape/9520/112638185;House;Sale;;;468 m²;;R2 795 000 ;3 Bedroom House for Sale in Durbanville Central;https://images.prop24.com/307531569/Ensure1280x720|https://images.prop24.com/307531570/Ensure1280x720;https://images.prop24.com/307531569/Ensure1280x720;2.0;210 m²;468 m²;3.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/groot-phesantekraal-estate/durbanville/western-cape/33247/111852230;House;Sale;;;162 m²;;R2 750 000 ;3 Bedroom House for Sale in Groot Phesantekraal Estate;https://images.prop24.com/313692169/Ensure1280x720|https://images.prop24.com/313692170/Ensure1280x720;https://images.prop24.com/313692169/Ensure1280x720;1.0;148 m²;162 m²;3.0;2.0
DURBANVILLE;https://www.property24.com/for-sale/vergesig/durbanville/western-cape/9557/112524098;House;Sale;;;1 600 m²;;R6 995 000 ;4 Bedroom House for Sale in Vergesig;https://images.prop24.com/304353059/Ensure1280x720|https://images.prop24.com/304353060/Ensure1280x720;https://images.prop24.com/304353059/Ensure1280x720;2.0;323 m²;1 600 m²;4.0;4.0
DURBANVILLE;https://www.property24.com/for-sale/durbanville-central/durbanville/western-cape/9520/112600519;House;Sale;;;1 988 m²;;R16 000 000 ;9 Bedroom House for Sale in Durbanville Central;https://images.prop24.com/305641407/Ensure1280x720|https://images.prop24.com/305641408/Ensure1280x720;https://images.prop24.com/305641407/Ensure1280x720;;;1 988 m²;9.0;10.0
