Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112779392;Apartment / Flat;Sale;NULL;NULL;NULL;Closed Circuit TV, 24 Hour Access, Electric fencing;R1 160 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/305939873/Ensure1280x720|https://images.prop24.com/308764166/Ensure1280x720;https://images.prop24.com/305939873/Ensure1280x720;NULL;66 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/scottsdene/kraaifontein/western-cape/8438/111309111;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R569 592 ;2 Bedroom Apartment / Flat for Sale in Scottsdene;https://images.prop24.com/291975465/Ensure1280x720|https://images.prop24.com/285006396/Ensure1280x720;https://images.prop24.com/291975465/Ensure1280x720;NULL;40 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112337902;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R850 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/297004875/Ensure1280x720|https://images.prop24.com/297004882/Ensure1280x720;https://images.prop24.com/297004875/Ensure1280x720;NULL;50 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112919526;Apartment / Flat;Sale;NULL;NULL;NULL;Security including smartphone-integrated security;R765 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;NULL;NULL;NULL;52 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/windsor-park-estate/kraaifontein/western-cape/10051/112707898;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R1 400 000 ;2 Bedroom Apartment / Flat for Sale in Windsor Park Estate;NULL;NULL;NULL;59 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/uitzicht/kraaifontein/western-cape/11688/112802435;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R1 250 000 ;3 Bedroom Apartment / Flat for Sale in Uitzicht;https://images.prop24.com/309128235/Ensure1280x720|https://images.prop24.com/309128234/Ensure1280x720;https://images.prop24.com/309128235/Ensure1280x720;NULL;71 m²;NULL;3.0;1.5
KRAAIFONTEIN;https://www.property24.com/for-sale/langeberg-ridge/kraaifontein/western-cape/8424/112134567;Apartment / Flat;Sale;NULL;NULL;NULL;Electric Garage, Closed Circuit TV, Electric fencing;R1 399 900 ;2 Bedroom Apartment / Flat for Sale in Langeberg Ridge;https://images.prop24.com/302033837/Ensure1280x720|https://images.prop24.com/307339474/Ensure1280x720;https://images.prop24.com/302033837/Ensure1280x720;NULL;70 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112280847;Apartment / Flat;Sale;NULL;NULL;NULL;24 Hour Access;R1 250 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/300160012/Ensure1280x720|https://images.prop24.com/300160008/Ensure1280x720;https://images.prop24.com/300160012/Ensure1280x720;NULL;67 m²;NULL;2.0;2.0
KRAAIFONTEIN;https://www.property24.com/for-sale/joostenberg/kraaifontein/western-cape/18080/112478233;Apartment / Flat;Sale;NULL;NULL;NULL;Security including automatic gates and smartphone-integrated security;R1 150 000 ;2 Bedroom Apartment / Flat for Sale in Joostenberg;https://images.prop24.com/305347488/Ensure1280x720|https://images.prop24.com/305347469/Ensure1280x720;https://images.prop24.com/305347488/Ensure1280x720;NULL;58 m²;NULL;2.0;1.0
KRAAIFONTEIN;https://www.property24.com/for-sale/buh-rein-estate/kraaifontein/western-cape/12841/112846495;Apartment / Flat;Sale;NULL;NULL;NULL;24 Hour Access;R1 080 000 ;2 Bedroom Apartment / Flat for Sale in Buh Rein Estate;https://images.prop24.com/309877609/Ensure1280x720|https://images.prop24.com/309877610/Ensure1280x720;https://images.prop24.com/309877609/Ensure1280x720;NULL;63 m²;NULL;2.0;2.0
